state,year,High blood pressure,Age - 25 to 34 years,Age - 35 to 44 years,Age - 45 to 54 years,Age - 55 to 64 years,Age - 65 years or more,Education - Bachelor degree or higher,Education - High school graduate,Education - Some college or associate degree,Employment status - Unemployed,Gender - Male,Household income - 15000 to 24999,Household income - 25000 to 34999,Household income - 35000 to 49999,Household income - 50000 or more,Marital status - Divorced,Marital status - Never married,Marital status - Separated,Marital status - Widowed,Race - American Indian and Alaska native,Race - Asian,Race - Black or African American,Race - Native Hawaiian and other Pacific Islander,Race - Some other race,Race - Two or more races
maryland,2007,29.1,12.6,15.1,15.4,11.1,11.8,32.2632591023736,28.0925065872132,26.7390471734611,5.5,48.3413973939652,7.4,7.9,12,64.2,9.4,33.3,2.7,6.1,0.232061262179745,4.89471630786581,28.9412147066823,0.0537524936173364,3.25660016545801,2.05291808404754
massachusetts,2007,26.4,12.7,15.2,15.4,11.3,13.3,35.0319861815735,28.2134073972507,24.9737406848786,6.1,48.4894697550527,8.6,8.3,11.7,59.5,9.1,35,1.8,6.3,0.175929163200773,4.81652403850999,5.96324976685161,0.0304817779900167,4.49713206160544,1.87135790429249
michigan,2007,28.6,12.4,14.2,15.3,11.4,12.7,22.551987952155,32.3488568560037,32.2434394718598,9.6,49.2327207530077,11.5,11.5,15,48.2,11.1,31.2,1.5,6.4,0.518555629755967,2.38501037845983,14.0653299869676,0.0235111383024839,1.66565691887724,1.89580395682132
minnesota,2007,21.4,13,14.3,15.6,10.9,12.2,28.3256121315384,28.7033579852546,33.402560964307,5.4,49.8302204027573,9.4,9.8,14.8,55.5,9.5,30.1,1.2,5.5,0.995917170567073,3.47659054017213,4.34425672822239,0.0268584415831782,1.37597566271184,1.84621002570214
mississippi,2007,33.7,12.6,13.4,13.8,10.8,12.4,16.9193155177012,32.1475855602874,29.2146410746991,9.3,48.4322757585776,14.7,12.7,14.9,36.7,10.7,31.3,2.9,7.7,0.376320969170391,0.692308614714684,37.517357393573,0.0608814969242339,0.656060655375439,0.90746663423308
missouri,2007,29.4,12.9,13.8,14.9,11.2,13.4,22.4561965737558,33.6766426284842,29.1478165124094,6.3,48.743649436115,12.3,11.9,15.7,45.3,11.7,27.9,2.1,6.6,0.382994395598133,1.38848652230236,11.2959360643983,0.130460336672385,1.04026340433603,1.88709031260978
montana,2007,25.2,12.2,12.5,15.9,12.6,13.7,24.1713126685732,33.3264774128841,31.9774623548068,5.2,49.9944146384496,13.5,11.6,17,43.1,12.2,27.8,1.4,5.8,6.17375589986439,0.526172377829351,0.622324115920786,0.0808050437380789,0.575970835016772,2.42498650639289
nebraska,2007,26.5,12.7,13,14.6,10.5,13.3,25.107626895779,30.8283121077423,33.4101596497005,4.6,49.5412130593817,11.9,12.1,16.3,47,9.7,28.4,1.2,6.5,0.667654323213892,1.44998424971444,3.96338044518929,0.165955602790759,2.59471162325993,2.00363918941536
nevada,2007,27,14.7,14.9,13.9,11.2,11.1,19.9344811660193,31.7462075335923,31.2939605435364,5.6,50.7508823247376,9.8,10.1,15.9,55.4,13.5,28.8,2.3,5,1.25271791881287,6.06549044157946,7.41558177300691,0.533682703004855,7.80889551731477,2.97137034562494
new hampshire,2007,26.3,11.4,15.3,16.7,12.1,12.6,29.7346698386795,31.6078958544282,28.8475266163994,5.1,49.183935894357,8.3,9.2,13.4,60.9,11.4,28.1,1.3,5.5,0.207245931839116,2.03598038649428,0.953468082454546,0.0204434014172065,0.770769431871035,1.24111966001635
new jersey,2007,28.2,12.2,15.6,15.4,11,13.1,31.4281873041718,31.339913926179,24.1220278803808,5.9,48.9526958572034,8,8.1,11.6,62.8,8.2,31.8,2.2,6.8,0.207485217455376,7.46592185974543,13.6523131688986,0.0193071085158509,7.5159568589165,1.6290502330208
new mexico,2007,25.6,13.2,13.1,14.4,10.9,12.8,21.9703882157282,29.6339112785528,30.079958456369,5.6,49.6087394633779,13.2,12.6,15.7,41.9,12.7,32,2,6.2,9.01130251812896,1.37092209562342,2.2663922047398,0.044875032679075,15.5580316917227,2.69077599794915
new york,2007,27.2,12.9,14.8,14.8,11.1,13.2,29.2236017408291,29.360058092594,25.5562820739829,6.2,48.5208803585126,10.3,9.4,13.1,53.2,8.2,36.1,3,6.7,0.330940495640705,6.88561332786879,15.6027167756372,0.0433988890609874,9.21503768655887,1.88919121001233
north carolina,2007,28.8,13.1,15,14.2,11.2,12.2,23.4209511827139,30.2225853763675,29.152699211524,6.9,48.839944500803,12.3,11.9,15.3,45.1,10.1,28.4,3,6.4,1.11862533980677,1.8044633326535,21.2788123913479,0.0460433204517984,4.21298589388052,1.56567154822983
north dakota,2007,26,12.1,12.1,14.9,11.1,14.4,22.7981811555391,28.7516027899822,37.6185923637931,3.5,50.4721633852575,14.4,11.3,15.4,44.2,8,29.8,1.1,7,5.14932430848112,1.04859195110323,0.828650258318157,0.116301790641145,0.43581907568214,1.7038837607372
ohio,2007,28.4,12.6,13.9,15.3,11.3,13.5,22.1205156021203,36.4888270864437,28.042143648253,7.2,48.7445753727876,11.6,11.6,15.5,47,11.6,29.4,1.8,6.8,0.178025183229285,1.55182949348984,11.7265521325392,0.0323016203919502,0.898323411602264,1.63435385465858
oklahoma,2007,31.5,13.3,13.1,14.1,11,13.2,20.5461555171257,33.4180271356203,30.4518630104405,5.4,49.559562946671,13.6,12.4,16,41.8,12.8,25.5,2.1,7,6.79277121490077,1.60021961034093,7.47327576578878,0.0744751080635477,2.87616564325594,6.2631796613843
oregon,2007,26.5,13.9,13.8,15,12.2,13,25.9624336342895,28.5397089743265,33.1559294217472,6.5,49.5602482217932,11.8,11.4,15.5,48.8,12.6,28.3,1.8,5.7,1.90353186362478,3.5797627990196,1.67719158735729,0.198427999802533,3.50886134723432,3.30779155453501
pennsylvania,2007,28.1,11.6,13.9,15.4,11.7,15.2,23.8693858700092,37.7731772305225,25.0323639886892,5.9,48.6780282337226,11.8,11.2,14.7,48.8,9.2,30.9,2.2,7.5,0.135842375550078,2.36723979617772,10.3708724476369,0.0212019954970694,2.031514723322,1.35402410013776
rhode island,2007,28.4,12.3,14.6,15.1,11.3,13.8,27.2631062039268,29.2468329098882,27.3402631313555,6.3,48.3130591625135,10,10,12.6,53.2,10.6,33.4,1.7,7,0.284166105771049,2.80148454575018,5.58756021750146,0.00548291222046601,6.43826240839755,2.11829477648625
south carolina,2007,30.4,12.7,14.3,14.1,11.9,13,21.4103743731816,33.0891305898742,27.608498940166,6.9,48.5459226096823,12.6,12.2,15.5,43.9,10,29.9,3.5,7,0.302696933940058,1.24146126706641,28.4405118395974,0.0443767952920667,1.41708538381277,1.21119611117703
south dakota,2007,25.5,11.9,12.4,14.7,11.1,14.3,22.4012703079272,33.2644587108258,31.5615621020913,4.1,49.9610029954221,13.2,13.4,17.3,42.6,9.9,29.4,1,6.5,8.14001243382755,0.837085460585395,1.09003221491683,0.0415716860395747,0.688507501114649,1.82701908404137
tennessee,2007,33.8,13.4,14.4,14.6,11.6,12.8,20.0099107803121,34.6604206482593,26.8257807442977,6.9,48.8370835180232,12.8,12.4,15.9,42.6,12.7,27.2,2.3,6.9,0.199684279889987,1.28662685433589,16.7155428077845,0.0629556099604351,1.37077881904306,1.28410927963417
texas,2007,27.8,14.6,14.5,13.6,9.5,10,22.5308000731464,28.0881538180206,28.4939779737496,5.9,49.8449698339802,11.9,11.6,14.8,47.8,10.6,29.8,2.7,5.5,0.465224364739851,3.37529774878077,11.5357687586961,0.071338390704967,12.4022794149022,1.85270230811257
utah,2007,19.7,16.2,12.1,11.5,8.1,8.8,24.5124957989909,28.0233238384141,37.156604095806,3.8,50.453591801401,9,10.7,15.9,55.8,9,28.6,1.2,3.9,1.17531650115487,1.9697731473956,0.962639821874776,0.802962201313258,3.07016515897827,1.98549897366302
vermont,2007,24.8,11.4,14,16.7,13.2,13.5,30.7021353781544,32.7016794604156,26.8199255661183,5.1,49.0849153486336,11.7,10.7,16.5,49.9,12.1,29.2,1.4,6,0.288609811767812,1.11886603547019,0.623416509189478,0.0125552511533125,0.212312516297682,1.60884275996613
virginia,2007,27.1,13.2,15.3,14.8,11.1,11.7,30.4905266829415,28.3185653036855,26.9974380422955,4.8,49.1182352490395,8.6,9.4,13.6,57.9,9.5,30.1,2.6,6,0.295963831339646,4.84051601569535,19.5702825602032,0.0672191238407327,2.83104802575592,1.99897796849129
washington,2007,25.4,13.8,14.6,15.3,11.5,11.7,27.5457749641852,26.5915210128933,34.4792800127342,6,49.8797234071236,9.4,10,14.3,55.3,12.1,29,1.7,5.3,1.37681141495981,6.63849494096244,3.36830115032657,0.426131620314315,3.88074436678857,3.623139113948
west virginia,2007,33.3,12.3,13.6,15.1,13,15.5,16.1091485466553,40.5992326839705,24.5748266852734,6.2,49.0510393011173,15.2,12.5,15.2,37,11.6,25.1,1.6,8.1,0.148672624976891,0.558819228105417,3.44347653328992,0,0.309431109222504,1.13623633097595
wisconsin,2007,26.3,12.6,14.2,15.5,11.1,13.2,23.2636730956974,34.861157692649,30.6032730601968,5.7,49.720760348755,10.9,11.4,15.3,50.7,10,30.1,1.2,6.1,0.824026535086153,1.94069950942938,5.99572625159775,0.038792210852536,2.51303189780136,1.37265158060854
wyoming,2007,25.1,13.1,12.5,15.8,12,12,21.2622649865131,32.4385442248078,36.7218326019566,3.7,51.0228946311421,11.5,10.9,15.5,51.9,13,26.4,1.5,5.8,2.50559455272268,0.56213300690473,0.630606506895167,0.0101371382667406,1.85260983493679,2.80760476636765
alabama,2009,37.2,13.2,13.1,14.3,11.7,13.8,20.0944677690338,30.9348853171764,30.9404175481426,11.1,48.4375756576963,13.8,11.8,15.4,40.7,12,28.2,2.8,7.3,0.511307985120334,1.09180692453216,26.1062694904844,0.0461060656129027,0.906214613435363,1.36098904412845
alaska,2009,26.4,14.6,13,15.4,11.4,7.4,23.020649330726,29.0503913888625,37.7182514792382,9.5,51.6395050345539,7.3,8.4,13.3,63.6,11.7,34.1,2.1,3.6,13.1648610612006,4.8156478489505,3.87516768722628,0.766099763340888,1.68123893121137,7.35017674269442
arizona,2009,26.6,14.5,13.2,12.9,10.6,13.1,23.1949457576758,25.7734144353704,34.6367053364842,10.6,50.1392709093605,11.5,11.1,15.4,48.6,12.2,32,1.9,5.5,4.45959521378676,2.54527972287727,3.85111506178649,0.171928163743534,6.21418731800858,2.78002079512076
arkansas,2009,34.4,13.3,12.8,13.9,11.7,14.3,17.1319156923221,34.8382004039926,30.4699520516583,9.1,48.9195175552441,15.1,12.8,15.8,37.5,12.6,25.6,2.6,7.2,0.63129661354237,1.11446815137829,15.4972745678243,0.0806035750748412,2.29465815293568,1.97449341570195
california,2009,25.7,14.5,14.1,14.1,10.4,11.2,26.8073281944908,21.9474351319282,32.0309008004705,11.3,50.09887271309,9.7,9.3,13.1,56.9,9.6,35.5,2.3,5.2,0.800166897247916,12.4960472558811,6.08183657532302,0.372126103413526,13.7911431693119,3.80552130986311
colorado,2009,22.4,14.6,14.2,14.8,11.3,10.6,32.4859612622572,23.1037338881369,32.8486547777928,8.5,50.3325340892717,9.8,9.7,14.1,54.8,11.3,30.6,1.7,4.4,0.977999294690997,2.5914931455269,3.87981646044737,0.114174880013883,4.60733553205056,3.22674888372511
connecticut,2009,27.1,11.7,13.9,16,12,13.8,32.6705675348173,28.2754515324049,27.4408036341705,9.2,48.7788947351667,8.3,7.8,11.8,62.1,10.4,32.3,1.5,6.1,0.278572987771325,3.52549308072563,9.58685019532227,0.0275418044230603,5.27648674582638,2.23185253737045
delaware,2009,30.8,13.1,13.3,14.5,11.9,14.2,26.4935040200012,31.6784752298934,28.9090372635098,8.6,48.4526426865449,10.3,9.9,13.6,56.4,10.9,31.7,2.2,6.7,0.309109930608436,3.06534014520032,20.764369205601,0,1.81217956394712,2.1346209901008
florida,2009,32.1,12.6,13.1,14.3,11.7,17.3,23.2353693885937,30.385584774059,31.3498810473359,12.1,49.1495535460222,12.7,12.2,16.3,44.8,12.5,29.7,2.4,7.3,0.311333997807419,2.38800161981067,15.6361843090794,0.0480419403010114,2.77042754791531,1.93030315241114
georgia,2009,31.3,13.8,14.7,14.1,10.5,10.3,24.6812556975357,29.4188733293093,29.2090448508353,11.2,49.1079802844806,11.7,11,14.6,47.5,11.3,32.7,2.5,5.7,0.229916724750339,2.96810191580993,29.9731178830122,0.0635249360299621,3.28744596082025,1.62644794175239
hawaii,2009,30.2,14.7,13.3,13.7,11.9,14.6,26.9758402980826,30.2955690659639,33.0315075704951,7.1,50.545716496111,8,9.2,12.7,60.7,9.2,31.3,1.5,5.9,0.268457308570714,37.0711207262631,2.26277778035143,8.80844177402643,1.04124684020266,23.6497222775557
idaho,2009,25.9,13.4,12.4,13.3,11.3,12,21.1779310210188,29.5239545156865,36.9320763088631,9.6,50.2298808190705,12.7,12.9,16.8,44.7,11.1,25.4,1.8,5.1,1.47121136549918,1.11676729410836,0.662439731893044,0.0805407681842618,1.79214530201494,2.52736283648413
illinois,2009,28.9,13.8,13.6,14.6,11,12.4,28.0523719585857,27.4333836670898,30.674153773563,10.6,49.2556897306662,10.6,10,13.5,53.5,9.7,34.2,1.7,6.1,0.190969937513211,4.37963661724427,14.5471611317658,0.0149801605820544,6.57605812488202,1.79266202952982
indiana,2009,31.3,13.1,13.3,14.6,11.4,12.9,20.6835173195704,34.8611724398568,30.4366292354117,11,49.1942925494227,12.4,12.2,16.3,45.5,12,28.9,1.5,6.2,0.213136527412798,1.41042201810866,8.82270014555248,0.0181064851264488,2.04351067776637,1.83200887171065
iowa,2009,28,12.5,12.2,14.6,11.8,14.8,23.0065010449016,31.9879111011776,35.394674001995,6,49.3160745341285,11.9,11.1,16.3,47.9,10.3,27.7,1.1,6.5,0.368368576032704,1.52171462938564,2.54038007790929,0.0141961536070365,1.4952506053313,1.80370941836663
kansas,2009,28.7,13.1,12.6,14.3,11.2,13,26.6235101266738,28.3239731939738,34.3295185205659,7.2,49.5918576587399,12.1,11.3,15.9,47.7,11.5,28.2,1.4,6.2,0.828488686639844,2.18643248223413,5.57776203398177,0.0598138108883131,2.12339028653512,2.90565275989651
kentucky,2009,36.4,13.3,13.6,14.8,11.9,13.2,19.2692423372002,33.9981907257177,28.6361854856468,10.1,48.9445223154795,13.5,12.2,15.3,40.3,12,26.7,2.1,7,0.238032707998145,0.977141767032991,7.49143566707687,0.0287428725209562,0.859782764151055,1.63720792663521
louisiana,2009,35.7,13.8,12.8,14.2,11.3,12.3,19.4779601095771,33.8791153524621,28.4623347729355,8.4,48.5685905581295,13.3,11.5,14.7,43,11.3,32.7,2.8,6.9,0.495004982106269,1.49100326886722,31.9654208878033,0.0376885876374309,0.956283909711234,1.38737634893087
maine,2009,30,11.2,13.1,16.5,13.9,15.5,24.7246021464697,34.4395977232212,30.7566046838667,7.2,48.7614740487946,13.1,11.7,15.9,45.5,12.7,28.1,1.1,6.7,0.52074602082529,0.930743434162608,1.33224506391181,0.0104680190639315,0.293256244211299,1.98353790219381
maryland,2009,29.4,13.2,14.1,15.6,11.6,12.1,32.8857714869618,27.3211585456706,27.8902426871487,8,48.5246719085502,7.2,7.8,12.1,64.1,9.6,34,2.5,5.9,0.283289101212427,5.09008017927256,29.0001470310088,0.0434250294500654,3.09733628237533,2.2669795374243
massachusetts,2009,25.7,12.9,14.1,15.7,11.9,13.6,35.1089050008071,26.5467680881709,27.1664001463365,9.1,48.5923670985156,8.4,7.8,11.8,59.9,9.6,35.7,2,6.3,0.149948730486153,4.98490427137763,6.31782063389776,0.0379004629801654,3.75969862837936,2.32870211616227
michigan,2009,29.8,12,13.5,15.4,12.1,13.4,22.4280620113341,30.8121527966828,34.3541823145816,14.7,49.1806245045627,12.3,11.7,15.3,45.6,11.3,32,1.5,6.1,0.500224329111519,2.42601427300868,13.9271616966041,0.0270117727396146,1.22716499659419,1.98114752791125
minnesota,2009,21.6,13.3,13.3,15.4,11.5,12.7,28.7905391387133,27.9130262541408,34.162358187373,8.2,49.6627084158167,9.9,10,14.2,54.9,9.7,31.1,1.1,5.1,1.04633023908063,3.72265469601982,4.42606312123603,0.0570238776806492,1.38875833971837,1.98005588453947
mississippi,2009,37.4,13,12.6,13.7,11.1,12.7,17.4847584098642,30.7734458885464,32.0095931022059,10.7,48.6098897152977,15.1,12.2,14.6,37.1,11.3,31.7,3.1,7.2,0.458571082074637,0.780692114758963,37.1292508526434,0.0115853815520075,0.815820888646191,1.24160059837479
missouri,2009,30.6,13,12.9,14.9,11.7,13.7,23.1223408618462,31.7647933051147,31.2901842888495,9,48.9089582101617,12.2,11.8,15.7,45.4,11.8,29.3,2,6.4,0.313599150240999,1.45023532044666,11.1757504701399,0.0636150164173172,1.01486744227217,2.11901970412086
montana,2009,27.7,12.1,11.6,15.1,13.2,14.5,24.3872191687914,31.222324347354,34.2352890037999,7.9,49.8053824196991,14,12.1,16.6,42.4,12.5,29.3,1.4,6.7,6.73966578084471,0.538467613480767,0.301952124588072,0.0286157074592636,0.753854658873074,2.22935848507009
nebraska,2009,27.1,13.3,12.2,14.1,11.1,13.4,24.7405515370705,28.4546749473809,36.0380058103341,6,49.587058379559,12,12.3,15.6,47.3,9.8,29.5,1.4,6,0.933641021873271,1.6649579043338,4.27429921263349,0.0531553103546545,2.83220399171334,2.09248244761558
nevada,2009,27.5,14.7,14.3,13.7,11.2,11.6,20.0277745120521,29.1459905201458,33.8107807422396,12.1,50.9434619015279,10.4,11,15,53.4,13.7,30.5,2.3,5,1.17434740085922,6.61174347400859,7.66906853165903,0.528662528825217,4.51741052595736,3.33303696248891
new hampshire,2009,28.6,11.1,14.1,16.8,12.8,13.5,29.3643855439377,30.1558848986468,31.0144288209337,7.8,49.356133099296,9,8.8,14.1,58.7,11.9,28.7,1.1,6,0.243247834210973,1.89011569748787,1.25632750127399,0.010191948360795,0.808259252967933,1.27505048789234
new jersey,2009,28.1,12.8,14.4,15.6,11.6,13.4,32.0477336297186,29.5021777654284,25.7911454141866,9.8,49.007365860717,8.2,8.2,11.3,62.7,8.3,33.3,2,6.6,0.263294494323441,7.77494504888754,13.6526928916114,0.0191438880811784,5.45891356425433,2.14816932981462
new mexico,2009,26.6,13.6,12.1,13.7,11.5,13.2,22.527743016005,27.0555090405505,32.5748953412387,9,49.2127318352108,13.6,11.4,15.7,43.3,12,32.4,1.9,6,9.37566397683999,1.406349596526,2.16020433195284,0.0650355207394643,11.4740671483044,3.03577053159448
new york,2009,28.5,13.6,13.9,15.1,11.7,13.4,29.9851245290941,27.3839321947084,27.2563630179965,9,48.600342052354,10.3,9.5,12.6,53.8,8.5,36.9,2.8,6.4,0.328691013917952,7.03078732170018,15.704497511009,0.0316813698551484,7.54160399433962,2.00419590088823
north carolina,2009,31.5,13.1,14.1,14.1,11.4,12.7,24.0627476827972,27.5019822362323,32.5467533271538,11,48.8243218869352,12.8,12.4,15.1,44.1,10.2,29.6,3.1,6.3,1.06888647168007,1.96436711081813,21.0215050095492,0.0327900867338302,3.40234459780123,2.05593630621592
north dakota,2009,26.8,12.9,11.5,14.3,11.4,14.7,23.3065163378637,27.1982251566475,40.0684329311147,3.8,50.0558094378243,11.4,12.2,14.8,47.5,8.1,29.7,1,6.5,5.72873830475354,0.779786161732968,1.07630278707076,0.0333929046261541,0.606637767375132,1.60455998664284
ohio,2009,31.7,12.8,13.2,15.2,12,13.9,22.1860968372082,34.866610416804,30.1027733017265,11.1,48.7948905991651,12.3,11.6,15.5,45.5,11.9,30.5,1.9,6.7,0.173201203017159,1.55708678556778,11.812379225039,0.0199174452649284,0.675841629020038,1.7718815748037
oklahoma,2009,34.4,13.6,12.3,13.8,11.3,13.4,20.4209696260626,31.8,32.9132600670091,6.8,49.3285146661966,13.7,12.7,15.5,42.1,12.6,26.8,2.2,6.7,6.05698322507153,1.61782454808044,7.27985788096174,0.0854341546765029,2.46736550901127,7.14140030647808
oregon,2009,27.2,13.8,13.3,14.3,12.9,13.5,26.4595503932307,24.9933745297335,36.8404758864919,11.8,49.5394124460191,12,11.5,15,48.5,12.4,29.5,1.9,5.5,1.2706575628709,3.60066257900277,1.78259577374553,0.358239120757559,3.90008827241961,3.48246065969845
pennsylvania,2009,31.4,12.2,13.1,15.4,12.3,15.4,24.4971719115297,36.9537929064822,26.3749201935006,9.1,48.6807887841164,11.6,11.1,14.5,49.6,9.1,32.1,2.2,7.4,0.13297350121585,2.46724116360104,10.5143871362319,0.0239591894082612,1.82121573528491,1.53499069042688
rhode island,2009,30.2,12.7,13.5,15.5,12,14.4,27.595929437616,27.8853343110137,29.2797355181101,9.6,48.5165812293666,10,9.1,13.4,53.7,10.4,34.3,2,6.8,0.37039182156628,2.95686801005309,5.99795482188246,0.00721604164035818,6.2889701854048,1.81426478505216
south carolina,2009,32.7,13,13.2,14.2,12.2,13.6,22.0991394576233,30.4458401564225,30.763340073109,11.7,48.6522968963278,13.2,12,15.2,42.8,10,31.5,3.2,6.9,0.262932771381128,1.25700412299983,27.9271742214072,0.0595671091338719,1.4371305008592,1.48268826780074
south dakota,2009,29.9,12.7,11.3,14.2,11.9,14.4,22.528858887545,31.7010409908485,34.5474871791528,5.2,49.7354080526057,13,11.7,16,44.9,10.6,28.6,1.6,6.7,8.58006629877779,1.01060706587902,1.04999735346505,0.00726258427367387,0.952506391689634,2.0726676949173
tennessee,2009,32.6,13.4,13.7,14.5,11.9,13.3,21.127322103481,33.3819277288953,28.7646716635389,11.1,48.8085137607219,13.2,12.3,15.5,41.9,12.5,27.7,2.5,6.7,0.207583747415527,1.37286392829768,16.5054649955354,0.0336072845854059,1.1479365349619,1.61648497662261
